name,config_default,event_name,counter,run_time,time_enabled,run_time_enabled
npb_bt-hardware-cache,w,branch-load-misses,84543435,3032043846,100,00
npb_bt-hardware-cache,w,branch-loads,88332859,3032043846,100,00
npb_bt-hardware-cache,w,dTLB-load-misses,152337,3032043846,100,00
npb_bt-hardware-cache,w,dTLB-loads,7446472482,3026739011,100,00
npb_bt-hardware-cache,w,dTLB-store-misses,34096,3026739011,100,00
npb_bt-hardware-cache,w,dTLB-stores,3233673846,3026739011,100,00
npb_bt-hardware-cache,w,iTLB-load-misses,6251,3026739011,100,00
npb_bt-hardware-cache,w,dTLB-loads,7446472465,3013057080,100,00
npb_bt-hardware-cache,w,dTLB-store-misses,32221,3013057080,100,00
npb_bt-hardware-cache,w,dTLB-stores,3233673833,3013057080,100,00
npb_bt-hardware-cache,w,iTLB-load-misses,4087,3013057080,100,00
npb_bt-hardware-cache,w,dTLB-loads,7446472486,3023770715,100,00
npb_bt-hardware-cache,w,dTLB-store-misses,33347,3023770715,100,00
npb_bt-hardware-cache,w,dTLB-stores,3233673850,3023770715,100,00
npb_bt-hardware-cache,w,iTLB-load-misses,6260,3023770715,100,00
npb_bt-hardware-cache,w,dTLB-loads,7446472473,3014844000,100,00
npb_bt-hardware-cache,w,dTLB-store-misses,32713,3014844000,100,00
npb_bt-hardware-cache,w,dTLB-stores,3233673837,3014844000,100,00
npb_bt-hardware-cache,w,iTLB-load-misses,3491,3014844000,100,00
npb_bt-hardware-cache,w,dTLB-loads,7446472487,3022537331,100,00
npb_bt-hardware-cache,w,dTLB-store-misses,33138,3022537331,100,00
npb_bt-hardware-cache,w,dTLB-stores,3233673855,3022537331,100,00
npb_bt-hardware-cache,w,iTLB-load-misses,4203,3022537331,100,00
npb_bt-hardware-cache,w,dTLB-loads,7446472472,3012773819,100,00
npb_bt-hardware-cache,w,dTLB-store-misses,31935,3012773819,100,00
npb_bt-hardware-cache,w,dTLB-stores,3233673836,3012773819,100,00
npb_bt-hardware-cache,w,iTLB-load-misses,3227,3012773819,100,00
npb_bt-hardware-cache,w,dTLB-loads,7446472477,3017792609,100,00
npb_bt-hardware-cache,w,dTLB-store-misses,32973,3017792609,100,00
npb_bt-hardware-cache,w,dTLB-stores,3233673841,3017792609,100,00
npb_bt-hardware-cache,w,iTLB-load-misses,3627,3017792609,100,00
npb_bt-hardware-cache,w,dTLB-loads,7446472499,3027856299,100,00
npb_bt-hardware-cache,w,dTLB-store-misses,33798,3027856299,100,00
npb_bt-hardware-cache,w,dTLB-stores,3233673863,3027856299,100,00
npb_bt-hardware-cache,w,iTLB-load-misses,4696,3027856299,100,00
npb_bt-hardware-cache,w,dTLB-loads,7446472489,3032589570,100,00
npb_bt-hardware-cache,w,dTLB-store-misses,34702,3032589570,100,00
npb_bt-hardware-cache,w,dTLB-stores,3233673857,3032589570,100,00
npb_bt-hardware-cache,w,iTLB-load-misses,6856,3032589570,100,00
npb_bt-hardware-cache,w,dTLB-loads,7446472536,3075968779,100,00
npb_bt-hardware-cache,w,dTLB-store-misses,38732,3075968779,100,00
npb_bt-hardware-cache,w,dTLB-stores,3233673900,3075968779,100,00
npb_bt-hardware-cache,w,iTLB-load-misses,5289,3075968779,100,00
npb_bt-hardware-cache,w,iTLB-loads,17624456617,2283824641,74,99
npb_bt-hardware-cache,w,node-load-misses,946,2284428644,75,01
npb_bt-hardware-cache,w,node-loads,21919,2284435797,75,01
npb_bt-hardware-cache,w,node-prefetch-misses,64,1521966009,49,98
npb_bt-hardware-cache,w,iTLB-loads,17625207583,2295032888,75,00
npb_bt-hardware-cache,w,node-load-misses,1243,2295018464,75,00
npb_bt-hardware-cache,w,node-loads,1854,2295025184,75,00
npb_bt-hardware-cache,w,node-prefetch-misses,46,1529973456,50,00
npb_bt-hardware-cache,w,iTLB-loads,17622007314,2284860443,74,99
npb_bt-hardware-cache,w,node-load-misses,452,2284908029,74,99
npb_bt-hardware-cache,w,node-loads,2871,2285442773,75,01
npb_bt-hardware-cache,w,node-prefetch-misses,28,1523378532,50,00
npb_bt-hardware-cache,w,iTLB-loads,17613636630,2289073077,75,00
npb_bt-hardware-cache,w,node-load-misses,561,2289138829,75,00
npb_bt-hardware-cache,w,node-loads,33557,2289594441,75,02
npb_bt-hardware-cache,w,node-prefetch-misses,132,1525399680,49,98
npb_bt-hardware-cache,w,iTLB-loads,17621642033,2283173556,75,00
npb_bt-hardware-cache,w,node-load-misses,1059,2283143740,75,00
npb_bt-hardware-cache,w,node-loads,3817,2283138597,75,00
npb_bt-hardware-cache,w,node-prefetch-misses,34,1521992529,50,00
npb_bt-hardware-cache,w,iTLB-loads,17626923958,2284634811,74,99
npb_bt-hardware-cache,w,node-load-misses,475,2285204857,75,01
npb_bt-hardware-cache,w,node-loads,2002,2284784005,74,99
npb_bt-hardware-cache,w,node-prefetch-misses,16,1523312836,50,00
npb_bt-hardware-cache,w,iTLB-loads,17627969601,2316828817,74,98
npb_bt-hardware-cache,w,node-load-misses,422,2317762392,75,01
npb_bt-hardware-cache,w,node-loads,7863,2317708287,75,01
npb_bt-hardware-cache,w,node-prefetch-misses,48,1544002211,49,97
npb_bt-hardware-cache,w,iTLB-loads,17621215895,2284099954,74,98
npb_bt-hardware-cache,w,node-load-misses,1,2284281265,74,99
npb_bt-hardware-cache,w,node-loads,36273,2285093780,75,02
npb_bt-hardware-cache,w,node-prefetch-misses,0,1522820159,49,99
npb_bt-hardware-cache,w,iTLB-loads,17624795913,2277357546,74,99
npb_bt-hardware-cache,w,node-load-misses,1,2277797783,75,01
npb_bt-hardware-cache,w,node-loads,9325,2277833546,75,01
npb_bt-hardware-cache,w,node-prefetch-misses,0,1517967283,49,99
npb_bt-hardware-cache,w,iTLB-loads,17624450903,2279887732,74,98
npb_bt-hardware-cache,w,node-load-misses,2,2280822401,75,01
npb_bt-hardware-cache,w,node-loads,4485,2281050553,75,02
npb_bt-hardware-cache,w,node-prefetch-misses,0,1519660202,49,98
npb_bt-hardware-cache,w,node-prefetches,642,2021876507,66,67
npb_bt-hardware-cache,w,node-store-misses,0,2021977272,66,67
npb_bt-hardware-cache,w,node-stores,1,2021782815,66,66
npb_bt-hardware-cache,w,node-prefetches,3445,2026512522,66,67
npb_bt-hardware-cache,w,node-store-misses,0,2026626056,66,68
npb_bt-hardware-cache,w,node-stores,681,2025865474,66,65
npb_bt-hardware-cache,w,node-prefetches,5795,2026058683,66,65
npb_bt-hardware-cache,w,node-store-misses,0,2026814529,66,68
npb_bt-hardware-cache,w,node-stores,323,2026722244,66,67
npb_bt-hardware-cache,w,node-prefetches,1843,2020715755,66,66
npb_bt-hardware-cache,w,node-store-misses,0,2021402309,66,68
npb_bt-hardware-cache,w,node-stores,1,2020725896,66,66
npb_bt-hardware-cache,w,node-prefetches,189,2024984571,66,66
npb_bt-hardware-cache,w,node-store-misses,0,2025097331,66,66
npb_bt-hardware-cache,w,node-stores,13,2025744084,66,68
npb_bt-hardware-cache,w,node-prefetches,531,2024008938,66,67
npb_bt-hardware-cache,w,node-store-misses,0,2024139506,66,67
npb_bt-hardware-cache,w,node-stores,12,2024009238,66,67
npb_bt-hardware-cache,w,node-prefetches,10762,2024896065,66,67
npb_bt-hardware-cache,w,node-store-misses,0,2025337749,66,68
npb_bt-hardware-cache,w,node-stores,145,2024364470,66,65
npb_bt-hardware-cache,w,node-prefetches,295,2037123283,66,66
npb_bt-hardware-cache,w,node-store-misses,0,2037320112,66,66
npb_bt-hardware-cache,w,node-stores,25,2037751491,66,68
npb_bt-hardware-cache,w,node-prefetches,4351,2037484588,66,66
npb_bt-hardware-cache,w,node-store-misses,0,2037772098,66,67
npb_bt-hardware-cache,w,node-stores,107,2037685008,66,67
npb_bt-hardware-cache,w,node-prefetches,15699,2044125631,66,66
npb_bt-hardware-cache,w,node-store-misses,0,2044419214,66,67
npb_bt-hardware-cache,w,node-stores,913,2044209435,66,67
